emailId,name,employeeId,country,Designation,LastPromotionDate,JobTitle,HiredDate,EmergencyContactName,EmergencyContactNumber,RegionalSupervisor,OfficeSupervisor
aaradhya@gmail.com,Anjana Raj,WA7898123,Rwanda,develop,,Developer,13-05-2024,Guhan,91451198306,Akass Akash,Ajay S
abisha@gmail.com,Adanna Sha,12345,Uganda,Audit,31-03-2024,Developer,03-04-2024,Siva Siva,1234567890,,Ajay S
ajay@gmail.com,Ajay S,12347,Uganda,Tester,04-03-2024,Tester,24-04-2024,uirhtrgG,9.15E+13,,none
akash12@gmail.com,Omari Siv,1234,Tanzania,Managing Partner,,Tester,01-04-2020,Siva Smk,9080492402,,Akass Akash
akash@gmail.com,Abel Seid,2123454,Ethiopia,CA Accountant,,CA Accountant,01-05-2020,Parent,9.11E+11,,Abi Sha
coxokag688@sablecc.com,Scarlett  Mellish,EA-TA-47,Tanzania,,,Tester,01-08-2017,wilson,2988976363,,Akass Akash
dadolir535@givehit.com,Gal  Gadot,EA-BU-51,Burundi,,,Developer,08-06-2015,Hinata,9.20E+11,Abi Sha,Anj Anj
demo@insyts.co,Demo User,Demouser1,Kenya,Senior Partner,,,01-07-2024,Demo user,9.15E+12,,Siva Siv
dilsen@gmail.com,Dilsen S,EA-KE-41,Kenya,Managing Partner,,,24-07-2024,Demo user,709494508,Akass Akash,Ajay S
elina@gmail.com,Elina James,EA-KE-55,Kenya,,,,01-09-2024,Satya Nadella,9.20E+11,,Akass Akash
finance@bdo-ea.com,Finance Finance,EA-UG-58,Uganda,,,,19-09-2024,,,,Ajay S
gadribesto@gufum.com,Akash A,1235,Kenya,Tester,,tester,05-06-2024,Siva Siva,1234567890,Akass Akash,Siva Siv
gambir@gmail.com,Gambir G,EA-KE-43,Kenya,,,,18-07-2024,,,,Siva Siv
gungung@gmail.com,Gun Gung,WA78981,Burundi,Tester,,Developer,29-05-2024,test,2.55E+12,Siva Siv,Siva Siv
gutrepifyi@gufum.com,Arun A,1235,Kenya,,,tester,04-06-2024,Siva Siva,1234567890,,Akass Akash
hirzecorto@gufum.com,Mohamad Asif,2123457,Kenya,,,Tester,14-06-2024,bharath lin,9.11E+11,Akass Akash,Siva Siv
hixeh23194@ploncy.com,mical jackson,EA-KE-56,Kenya,,,,29-08-2000,Satya Nadella,9.20E+11,,Ajay S
jadab82523@jofuso.com,Emily  Blunt,EA-DR-65,DR Congo,,,,03-06-2019,Marie,2423535263,,Anj Anj
jasmin@gmail.com,Riga Beautlin,EK-123456,Kenya,Tester,10-07-2024,Developer,15-04-2024,Demo user,9.18E+11,Akass Akash,Akass Akash
jenison@gmail.com,jenison A,212345,Kenya,Tester,,Tester,08-05-2024,bharath lin,1233444455,,
jexeda9353@facais.com,Aisha sha,BDOEA-008,Kenya,Developer,02-05-2023,Tester,01-09-2023,Siva ,9.20E+11,,
jiwitan269@chaladas.com,heman  Paul,EA-KE-53,Kenya,,,,17-08-2004,,,,Akass Akash
jiydukolte@gufum.com,Unis Mariya,BDOEA-027,Kenya,Tester,25-02-2024,Assistant 1/ Trainee,17-04-2024,beula,86424242578,Siva Siv,Akass Akash
jocete5913@bacaki.com,Adlin shiya,EA-ET-42,Ethiopia,Tester,,,01-07-2020,Jenifer,,,Akass Akash
john@gmail.com,John R,456,Kenya,Tester,,Tester,01-05-2024,Siva Siva,1234567890,Siva Siv,Akass Akash
keerthana@gmail.com,Rubi Rubi,WA7898,Tanzania,Tester,,Developer,16-05-2024,,,Siva Siv,Anj Anj
kidoci8267@jadsys.com,Elgin Rio,10,Head Office,Tester,16-05-2023,Auditor ,09-06-2022,beula,,Siva Siv,Akass Akash
kihec44795@luvnish.com,Alan Edgango,EA-RW-49,Rwanda,,,Tester,03-04-2017,Jarel,3.52E+11,Siva Siv,Ajay S
kiveh54976@cutxsew.com,Kivi Kivi,EA-KE-0035,Uganda,Assistant Manager,28-06-2024,Developer,03-07-2024,Siva,9.19E+11,Siva Siv,Akass Akash
nafiji2423@cutxsew.com,Nifin Nifin,EA-KE-40,Kenya,,,,01-07-2024,Siva,9.19E+11,,Akass Akash
naxefen592@biscoine.com,Raj Kumar,EA-KE-48,Kenya,Manager,,HR,14-02-2017,Raj,9.18E+11,Akass Akash,Akass Akash
nocor62296@stikezz.com,Daniel  Efforn,EA-ET-46,Ethiopia,,,marketing,10-07-2017,zack,34657536743,Anj Anj,Akass Akash
radha@gmail.com,Radha Radha,WA79812,Ethiopia,Tester,,Developer,03-06-2024,Jasmin,9.19E+11,Siva Siv,Akass Akash
renu@gmail.com,Renu S,EA-DR-62,DR Congo,,,,02-09-2020,wilson,2426437453,,Abi Sha
reyoyo7186@nastyx.com,Aaron  Taylor,EA-DR-64,DR Congo,,,,21-09-2020,Kraven,2426373627,,Abi Sha
riya@gmail.com,Jiji in,WA789812,Tanzania,Tester,,Developer,10-05-2024,,,Siva Siv,Akass Akash
sabarish@gmail.com,Sabarish J,EA-TA-63,Tanzania,Dev,24-09-2024,Developer,27-09-2024,Dhoni,67094954508,Akass Akash,Anj Anj
